country,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences
South Africa,23.85,22.125,40.2,25.95,27.25,30.75,26.95,35.775000000000006,34.2,31.25,27.75
South Korea,29.025,43.3,27.55,28.325,47.85,28.8,,32.650000000000006,25.25,38.275000000000006,34.075
Spain,15.85,27.05,27.55,30.7,27.25,28.8,21.6,32.650000000000006,32.05,21.25,23.2
Sri Lanka,,,21.5,,,,,15.2,25.25,,
Sweden,42.75,38.85,45.5,42.575,32.599999999999994,45.925,37.0,60.9,50.75,35.35,41.75
Switzerland,37.099999999999994,51.875,47.8,47.900000000000006,46.400000000000006,87.25,42.2,59.1,57.8,43.6,44.25
Taiwan,34.6,17.200000000000003,34.3,25.95,46.075,22.65,,26.4,14.15,47.7,27.75
Tanzania,,,,,,,,,,,23.2
Thailand,,17.200000000000003,27.55,17.299999999999997,41.1,18.25,,15.2,14.15,,25.475
Tunisia,,17.200000000000003,21.5,17.299999999999997,,22.65,,15.2,14.15,,
Turkey,23.85,17.200000000000003,21.5,30.7,17.950000000000003,13.85,,15.2,14.15,34.85,19.25
Uganda,,,37.6,,17.950000000000003,,,15.2,,,23.2
Ukraine,,17.200000000000003,,28.0,,13.85,,15.2,14.15,,
United Arab Emirates,,33.525000000000006,43.85,30.7,27.25,30.75,,32.650000000000006,28.65,,23.2
United Kingdom,30.6,38.85,37.6,40.1,36.75,40.0,43.8,52.150000000000006,48.25,38.45,35.85
United States,27.45,38.85,37.6,41.5,39.2,42.75,42.25,47.15,45.2,41.2,35.85
Venezuela,,,,,,13.85,,,14.15,,
Vietnam,,,,17.299999999999997,,32.7,,,19.7,,
